"","COSECHA","SITUACION_AMORTIZACION","REGIMEN","IN_CEDIDA","N","SALDO_TOTAL","EPRC_TOTAL","EPRE_TOTAL","RKP_TOTAL","COBERTURA_CEK"
"112",1994,"D. Amortización parcial","REA","Propia",229,71598311.5464627,8304362.96,28334935.71,4456289.07,57.3974257945058
"113",1994,"D. Amortización parcial","ROA","Propia",1873,589707654.697635,39291948.66,230288052.87,34209348.74,51.5152462156463
"114",1994,"E. Amortización plena","REA","Propia",185,24704098.4342745,2670974.41,1634349.93,1511188.16,23.5447268617184
"115",1994,"E. Amortización plena","ROA","Propia",3695,386415076.350566,19790770.65,11385237.99,24329181.6,14.3641368147976
"116",1995,"A. Segregada","REA","Bursatilizada",2398,733883941.099551,0,0,0,0
"117",1995,"A. Segregada","ROA","Bursatilizada",80,19265145.7732535,0,0,0,0
"118",1995,"B. Sin pago","REA","Propia",566,221396990.31631,105697750.09,4704307.94,1471495.19,50.530747080241
"119",1995,"B. Sin pago","ROA","Propia",134,37476519.988502,14984109.95,1009641.95,454731.44,43.8901033101432
"120",1995,"C. Pago insuficiente","REA","Propia",54,24098783.8528604,4476889.18,12720520.72,1248363.47,76.542341234413
"121",1995,"C. Pago insuficiente","ROA","Propia",258,139829503.3751,12610463.87,82691926.93,8208766.4,74.0266930093615
"122",1995,"D. Amortización parcial","REA","Propia",125,40379880.4851627,4623536.36,15225943.09,2363597.96,55.0102604146192
"123",1995,"D. Amortización parcial","ROA","Propia",670,202567489.729089,14286069.08,74592586.32,11550740.04,49.5782396150108
"124",1995,"E. Amortización plena","REA","Propia",102,13846305.6026086,1808909.91,1365396.33,873189.65,29.2315943773296
"125",1995,"E. Amortización plena","ROA","Propia",1569,170962007.079806,8638058.43,5482701.82,10360396.11,14.3196472585702
"126",1996,"A. Segregada","REA","Bursatilizada",2642,726964432.338658,0,0,0,0
"127",1996,"A. Segregada","ROA","Bursatilizada",106,19507332.1045403,0,0,0,0
"128",1996,"B. Sin pago","REA","Bursatilizada",2,503956.42728528,0,0,0,0
"129",1996,"B. Sin pago","REA","Propia",646,223144923.519289,109158314.66,2184871.55,1397049.4,50.5233253044427
"130",1996,"B. Sin pago","ROA","Propia",199,35670191.1529772,15688587.6,753416.15,409843.99,47.2435027548023
"131",1996,"C. Pago insuficiente","REA","Propia",49,20286761.8153381,4253733.65,9853394.31,1097602.26,74.9490251741619
"132",1996,"C. Pago insuficiente","ROA","Propia",207,74757302.4981454,8213860.67,40591647.65,4618981.64,71.4639081062687
"133",1996,"D. Amortización parcial","REA","Propia",98,29047974.222402,3929725.02,9891188.65,1719027.36,53.497503512708
"134",1996,"D. Amortización parcial","ROA","Propia",617,162588653.115833,13514174.26,56181687.09,9792196.12,48.8890558761014
"135",1996,"E. Amortización plena","REA","Propia",135,19716252.0182928,2911395.66,1692144.08,1207146.85,29.471557700768
"136",1996,"E. Amortización plena","ROA","Propia",1989,190797535.657,12619084.61,5126716.45,12061301.53,15.6223729448921
"137",1997,"A. Segregada","REA","Bursatilizada",1443,405268177.973317,0,0,0,0
"138",1997,"A. Segregada","ROA","Bursatilizada",108,20082433.2998373,0,0,0,0
"139",1997,"B. Sin pago","REA","Propia",585,166194022.062495,79906612.81,1583538.78,1661257.09,50.0327314112008
"140",1997,"B. Sin pago","ROA","Propia",128,18979143.4840908,7557323.91,164601.38,363143.26,42.5997546031372
"141",1997,"C. Pago insuficiente","REA","Propia",35,12326694.2813722,3778239.68,4068999.24,615649.31,68.6549697495856
"142",1997,"C. Pago insuficiente","ROA","Propia",116,41155353.5698617,4778228.34,21429447.67,2671266.19,70.170560315993
"143",1997,"D. Amortización parcial","REA","Propia",76,22225257.6163164,4251978.41,6227407.77,1371070.13,53.3197703017856
"144",1997,"D. Amortización parcial","ROA","Propia",324,86307194.4650507,6694184.02,27127650.97,5756773.45,45.857832229765
"145",1997,"E. Amortización plena","REA","Propia",120,17118720.5481459,2706618.82,1309261.7,1124397.44,30.027232149407
"146",1997,"E. Amortización plena","ROA","Propia",1722,158514198.334837,10961419.07,4435737.78,11695206.09,17.0914424225719
"147",1998,"A. Segregada","REA","Bursatilizada",1204,366406628.195715,0,0,0,0
"148",1998,"A. Segregada","ROA","Bursatilizada",121,21989476.5952884,0,0,0,0
"149",1998,"B. Sin pago","REA","Propia",424,99838177.7648936,44950805.45,148787.31,1529301.87,46.7044728518635
"150",1998,"B. Sin pago","ROA","Propia",122,18672319.5888665,7378670.51,20620.97,339014.61,41.44266090333
"151",1998,"C. Pago insuficiente","REA","Propia",32,10867220.371786,3221212.95,2865274.94,541818.53,60.99357695192
"152",1998,"C. Pago insuficiente","ROA","Propia",94,30882949.8752561,3187631.08,16029530.59,2218686.53,69.4099763351128
"153",1998,"D. Amortización parcial","REA","Propia",84,23296031.1719464,4880600.56,5323897.25,1508822.5,50.280325535044
"154",1998,"D. Amortización parcial","ROA","Propia",195,47831189.0130354,4454038.02,13421800.11,3423590.86,44.5304192295853
"155",1998,"E. Amortización plena","REA","Propia",131,17223700.0776049,3090921.15,813923.41,1218132.66,29.7437670008034
"156",1998,"E. Amortización plena","ROA","Propia",1270,106176950.551944,10073529.86,1883733.18,8206944.68,18.9911347191454
"157",1999,"A. Segregada","REA","Bursatilizada",635,230476881.361545,0,0,0,0
"158",1999,"A. Segregada","ROA","Bursatilizada",13,3077233.81420644,0,0,0,0
"159",1999,"B. Sin pago","REA","Propia",278,77135847.3977011,30306804.27,723.54,1516082.09,41.2565765122436
"160",1999,"B. Sin pago","ROA","Propia",55,7938985.97561104,3160956.6,0,218114.66,42.5630083033359
"161",1999,"C. Pago insuficiente","REA","Propia",32,12390309.9555834,4243408.74,3013945.19,581146.13,63.2631474765306
"162",1999,"C. Pago insuficiente","ROA","Propia",207,70142135.9520546,7482759.85,32198658.42,5191960.15,63.9749243602634
"163",1999,"D. Amortización parcial","REA","Propia",56,14933447.471366,2523819.63,3279145.15,1016924.27,45.6685508358117
"164",1999,"D. Amortización parcial","ROA","Propia",318,81138261.8350811,7050335.63,20306872.12,6319694.3,41.5055749141515
"165",1999,"E. Amortización plena","REA","Propia",140,19461990.3496,4135587.02,685030.11,1358942.14,31.7519388253474
"166",1999,"E. Amortización plena","ROA","Propia",2036,179667911.170926,12535239.67,2134739.56,15540422.17,16.8145781865631
"167",2000,"A. Segregada","REA","Bursatilizada",715,320196252.263741,0,0,0,0
"168",2000,"A. Segregada","ROA","Bursatilizada",20,5208613.49298945,0,0,0,0
"169",2000,"B. Sin pago","REA","Bursatilizada",13,1676571.79249109,665191.7185464,4747.321435,68933.37563691,44.0704310383557
"170",2000,"B. Sin pago","REA","Propia",627,207804564.646986,87761776.65,275678.5,3320392.18,43.9633496430633
"171",2000,"B. Sin pago","ROA","Bursatilizada",22,2434244.7744567,837613.80020435,0,108442.271767764,38.86445939617
"172",2000,"B. Sin pago","ROA","Propia",151,27687333.1742606,11390048.19,17890.06,575801.14,43.2823895121132
"173",2000,"C. Pago insuficiente","REA","Propia",83,35936220.6560815,10864262.54,10098176.03,1985919.81,63.8585748891667
"174",2000,"C. Pago insuficiente","ROA","Bursatilizada",29,9829029.62769416,627334.13195,4142497.89749,804600.38776,56.7139649421093
"175",2000,"C. Pago insuficiente","ROA","Propia",530,200468139.295904,25742982.85,86875445.52,14229670.2,63.2759395161363
"176",2000,"D. Amortización parcial","REA","Bursatilizada",1,241092.19813234,55678.54453,15650.86629,17136.56918,36.6938377456078
"177",2000,"D. Amortización parcial","REA","Propia",104,33838091.0433742,6091436.31,7044477.78,2406410.65,45.9314466648772
"178",2000,"D. Amortización parcial","ROA","Bursatilizada",97,28195841.4469093,1560527.615827,6684248.72064,2362007.801484,37.6182571388153
"179",2000,"D. Amortización parcial","ROA","Propia",641,187709560.951421,15729585.56,45017707.47,14810451.14,40.2524750401789
"180",2000,"E. Amortización plena","REA","Bursatilizada",6,468595.75969459,107093.456412668,53797.4344,31007.453159116,40.9517884021944
"181",2000,"E. Amortización plena","REA","Propia",221,37470451.4976686,8898962.64,811964.51,2500596.67,32.5897429358699
"182",2000,"E. Amortización plena","ROA","Bursatilizada",1519,141502918.69663,6345744.65633944,557942.5300844,12851014.7486281,13.9606321318391
"183",2000,"E. Amortización plena","ROA","Propia",4402,446410197.689662,25786424.18,5018034.47,39168469.51,15.6745810293169
"184",2001,"A. Segregada","REA","Bursatilizada",650,309285469.929634,0,0,0,0
"185",2001,"A. Segregada","ROA","Bursatilizada",9,4002826.08534763,0,0,0,0
"186",2001,"B. Sin pago","REA","Bursatilizada",51,6321314.72845619,2107897.7697219,798.548321,279526.035041,37.7804690270051
"187",2001,"B. Sin pago","REA","Propia",526,180236873.918354,83537919.89,382257.58,3218281.35,48.3466323652911
"188",2001,"B. Sin pago","ROA","Bursatilizada",25,2890553.89086419,1059262.2401404,0,131279.767722,41.1873313147766
"189",2001,"B. Sin pago","ROA","Propia",78,20223251.0831687,8719106.22,166704.14,469052.48,46.257957246972
"190",2001,"C. Pago insuficiente","REA","Bursatilizada",1,394956.52642128,22066.33258,274786.3682,31675.72237,83.180907561349
"191",2001,"C. Pago insuficiente","REA","Propia",89,37083081.3611497,10519087.86,11817989.84,2097673.33,65.8919111711121
"192",2001,"C. Pago insuficiente","ROA","Bursatilizada",50,17895204.3422435,1270847.58219,7134347.39217,1454415.880249,55.0963859704825
"193",2001,"C. Pago insuficiente","ROA","Propia",585,230183352.970077,22488776.57,108411809.8,17493739.89,64.4678793428169
"194",2001,"D. Amortización parcial","REA","Bursatilizada",1,234543.20044119,124836.7479,0,4804.219475,55.2738118739479
"195",2001,"D. Amortización parcial","REA","Propia",103,35589936.5414221,7071943.95,7046256.38,2430367.61,46.4978854928264
"196",2001,"D. Amortización parcial","ROA","Bursatilizada",284,81096137.5790153,4610478.6727,18469893.278369,6785774.36493,36.8280749337774
"197",2001,"D. Amortización parcial","ROA","Propia",505,158892812.100791,13425859.15,39060430.64,12595408.94,40.9594983369773
